,price,latitude,longitude,accommodates,bathrooms,bedrooms,beds,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,isSuperhost,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed
price,1.0,0.05375080848223799,-0.2621003032786341,0.5490193129470184,0.26868223270441854,0.4108369395349396,0.42261985342953046,-0.03593359475683675,0.06605082681849744,0.07741143286130761,0.008530218749495057,0.011437412163437653,0.13583843618126418,-0.018580881322361784,0.008249161762656497,0.4901008496560075,-0.46031298804242626,-0.10521054876639199,-0.018714257223229724,-0.010372551127555764,-0.029959025191745106,-0.024324309058471705,0.04425469646313563
latitude,0.05375080848223799,1.0,0.08694021052636178,-0.05080167336828385,-0.0611553252390597,-0.08637986588277509,-0.05889535644106251,-0.0073892598049485015,-0.013218381893019512,-0.015318493892751825,-0.0187140343559721,-0.011260180551971883,0.05074116495422246,-0.02631041570359444,-0.01883822858433294,-0.01915450006611426,0.01794207881317165,0.004274216654836778,0.012619533233127037,-0.0025835478812563087,0.004139662252365053,0.009003038929859302,-0.012753101556606599
longitude,-0.2621003032786341,0.08694021052636178,1.0,-0.008301532586584837,0.01251258113409677,0.031934026583577066,0.012583628450377296,0.046907417680197135,-0.021683274574168524,0.014936472197580559,0.002786293119349028,-0.017293452669264624,-0.19457330150086566,0.013290325191012777,0.060123890466607204,-0.18147747804645709,0.17403470886729264,0.026886419682539218,0.011710164041835287,-0.002495242794434278,0.0072097572550829285,-0.006836833113321939,-0.00505689769004146
accommodates,0.5490193129470184,-0.05080167336828385,-0.008301532586584837,1.0,0.3121705408998226,0.652443713222626,0.7581481751904733,0.0785934902419733,-0.008386079551806196,0.030626785896550185,-0.0006704390081104603,-0.01258229834720237,-0.020168773301279284,-0.033228762873204365,0.0485999233017984,0.48158495904117926,-0.45480448465059176,-0.09500394634942395,-0.015273786996790056,-0.011850921815964272,-0.03494683852442565,-0.030589189183088852,0.049920033963428916
bathrooms,0.26868223270441854,-0.0611553252390597,0.01251258113409677,0.3121705408998226,1.0,0.3834229522334784,0.33751334579588554,-0.02185370741265756,-0.01465957793747378,-0.021159444715428456,-0.018333193995130895,-0.03809418901795368,-0.033056268109985146,-0.01528131049782145,-0.002920015721114764,0.0024205403117672454,-0.013964929069346006,0.038823757733016294,-0.007028162172793377,-0.010552231903478647,-0.012224296634180088,-0.01831036790596441,0.024456403369146257
bedrooms,0.4108369395349396,-0.08637986588277509,0.031934026583577066,0.652443713222626,0.3834229522334784,1.0,0.663973381359089,0.022241976259744004,0.00972534504572935,0.017452864844112518,0.011607368435559996,0.0012000718634185995,-0.03441704128435643,0.003479673436242676,0.04269980860602576,0.19248747535641525,-0.18237753179060123,-0.03597345912532742,-0.010687281369760795,-0.006709303015228843,-0.023698600303334167,-0.03486422030857559,0.04186451765456377
beds,0.42261985342953046,-0.05889535644106251,0.012583628450377296,0.7581481751904733,0.33751334579588554,0.663973381359089,1.0,0.05633557223116527,-0.02191371738409667,0.012221524278732156,-0.0035898739267022544,-0.023855980020638868,-0.0332683420120751,-0.033991102078593,0.04362727611988671,0.32451189141284265,-0.3295266145382335,0.013583916914812512,-0.019934569561009908,-0.017288778527327107,-0.0292119877982552,-0.028837824597963566,0.04890955666182549
number_of_reviews,-0.03593359475683675,-0.0073892598049485015,0.046907417680197135,0.0785934902419733,-0.02185370741265756,0.022241976259744004,0.05633557223116527,1.0,0.027992210558278535,0.0856315803653849,0.08368769465792532,0.06928532243450873,0.016837726566029342,0.047581090647063055,0.30251056363506645,-0.012078957251257644,0.01921384232707848,-0.023887270965645885,-0.0013802422549116437,0.006227492200834489,0.03310456404915236,0.03154358564733438,-0.04030884278839642
review_scores_rating,0.06605082681849744,-0.013218381893019512,-0.021683274574168524,-0.008386079551806196,-0.01465957793747378,0.00972534504572935,-0.02191371738409667,0.027992210558278535,1.0,0.7063427472431041,0.5668839662530958,0.6314781619128742,0.45480876569669143,0.748019219901263,0.19328556939600314,0.06542937324055019,-0.05341730411977051,-0.041085705131172386,-0.011467572432098443,0.0018402216688411682,-0.0101611834680383,0.0065613237949275266,0.007145354038619438
review_scores_cleanliness,0.07741143286130761,-0.015318493892751825,0.014936472197580559,0.030626785896550185,-0.021159444715428456,0.017452864844112518,0.012221524278732156,0.0856315803653849,0.7063427472431041,1.0,0.4287435123919049,0.4525458583422471,0.32917370859769457,0.5977329959636754,0.22181894977211428,0.0748419539747258,-0.06577738087443406,-0.031262477500198574,-0.0015397308433854394,0.007503730134693577,-0.011590088510379317,0.013306518576593684,-0.0019161440059748671
review_scores_checkin,0.008530218749495057,-0.0187140343559721,0.002786293119349028,-0.0006704390081104603,-0.018333193995130895,0.011607368435559996,-0.0035898739267022544,0.08368769465792532,0.5668839662530958,0.4287435123919049,1.0,0.627354806244629,0.3507419835555443,0.4908384917780774,0.14841065097977416,0.03164526044098929,-0.02076391228201941,-0.0369380442677748,-0.003959838300886663,-0.0017622992053630167,0.005156247776091357,0.014617251184379508,-0.009500602359157269
review_scores_communication,0.011437412163437653,-0.011260180551971883,-0.017293452669264624,-0.01258229834720237,-0.03809418901795368,0.0012000718634185995,-0.023855980020638868,0.06928532243450873,0.6314781619128742,0.4525458583422471,0.627354806244629,1.0,0.3925926089481007,0.55181704999936,0.1493231839571664,0.043403944550135576,-0.03156543548189718,-0.040278268498011874,-0.0039192922929479025,0.003105504733947283,0.00412674570345127,0.012508018935006606,-0.009011699024342887
review_scores_location,0.13583843618126418,0.05074116495422246,-0.19457330150086566,-0.020168773301279284,-0.033056268109985146,-0.03441704128435643,-0.0332683420120751,0.016837726566029342,0.45480876569669143,0.32917370859769457,0.3507419835555443,0.3925926089481007,1.0,0.4509335900889371,0.08254377590791588,0.0877476338739019,-0.0808910920166071,-0.023963068594562424,-0.011902316319240712,0.0010231277019477681,-0.01600533964891822,-0.00643322850088456,0.01881710810631573
review_scores_value,-0.018580881322361784,-0.02631041570359444,0.013290325191012777,-0.033228762873204365,-0.01528131049782145,0.003479673436242676,-0.033991102078593,0.047581090647063055,0.748019219901263,0.5977329959636754,0.4908384917780774,0.55181704999936,0.4509335900889371,1.0,0.18573440371655456,0.0005853075300357686,0.009859574059568594,-0.03515426484284683,-0.007214142718905807,0.0023216994178471466,-0.0070021800998781355,0.007477827058261428,0.0025956323287109075
isSuperhost,0.008249161762656497,-0.01883822858433294,0.060123890466607204,0.0485999233017984,-0.002920015721114764,0.04269980860602576,0.04362727611988671,0.30251056363506645,0.19328556939600314,0.22181894977211428,0.14841065097977416,0.1493231839571664,0.08254377590791588,0.18573440371655456,1.0,-0.015252546330883184,0.020266097132266018,-0.01671652964817333,-0.003142069593585303,-0.003610386263113111,-0.004117688883969401,0.013110964071739072,-0.002648416437604231
Entire home/apt,0.4901008496560075,-0.01915450006611426,-0.18147747804645709,0.48158495904117926,0.0024205403117672454,0.19248747535641525,0.32451189141284265,-0.012078957251257644,0.06542937324055019,0.0748419539747258,0.03164526044098929,0.043403944550135576,0.0877476338739019,0.0005853075300357686,-0.015252546330883184,1.0,-0.9559834435989182,-0.1582633591611247,-0.0313901335619004,-0.020782202473031162,-0.028764664760938034,-0.016901407804406205,0.04775853862179669
Private room,-0.46031298804242626,0.01794207881317165,0.17403470886729264,-0.45480448465059176,-0.013964929069346006,-0.18237753179060123,-0.3295266145382335,0.01921384232707848,-0.05341730411977051,-0.06577738087443406,-0.02076391228201941,-0.03156543548189718,-0.0808910920166071,0.009859574059568594,0.020266097132266018,-0.9559834435989182,1.0,-0.13842546218208618,0.0126890429564213,-0.014431367215672421,0.016000601921183865,-0.005244780824569661,-0.008579621091777309
Shared room,-0.10521054876639199,0.004274216654836778,0.026886419682539218,-0.09500394634942395,0.038823757733016294,-0.03597345912532742,0.013583916914812512,-0.023887270965645885,-0.041085705131172386,-0.031262477500198574,-0.0369380442677748,-0.040278268498011874,-0.023963068594562424,-0.03515426484284683,-0.01671652964817333,-0.1582633591611247,-0.13842546218208618,1.0,0.06324986483592697,0.1187088279872876,0.04324439839713448,0.07469610216105747,-0.13232631609206028
Airbed,-0.018714257223229724,0.012619533233127037,0.011710164041835287,-0.015273786996790056,-0.007028162172793377,-0.010687281369760795,-0.019934569561009908,-0.0013802422549116437,-0.011467572432098443,-0.0015397308433854394,-0.003959838300886663,-0.0039192922929479025,-0.011902316319240712,-0.007214142718905807,-0.003142069593585303,-0.0313901335619004,0.0126890429564213,0.06324986483592697,1.0,-0.002150086178978447,-0.0048208019656171535,-0.004478941387880074,-0.4399040494144426
Couch,-0.010372551127555764,-0.0025835478812563087,-0.002495242794434278,-0.011850921815964272,-0.010552231903478647,-0.006709303015228843,-0.017288778527327107,0.006227492200834489,0.0018402216688411682,0.007503730134693577,-0.0017622992053630167,0.003105504733947283,0.0010231277019477681,0.0023216994178471466,-0.003610386263113111,-0.020782202473031162,-0.014431367215672421,0.1187088279872876,-0.002150086178978447,1.0,-0.0030336954050770686,-0.0028185650447713462,-0.27682839969476375
Futon,-0.029959025191745106,0.004139662252365053,0.0072097572550829285,-0.03494683852442565,-0.012224296634180088,-0.023698600303334167,-0.0292119877982552,0.03310456404915236,-0.0101611834680383,-0.011590088510379317,0.005156247776091357,0.00412674570345127,-0.01600533964891822,-0.0070021800998781355,-0.004117688883969401,-0.028764664760938034,0.016000601921183865,0.04324439839713448,-0.0048208019656171535,-0.0030336954050770686,1.0,-0.0063196275762624704,-0.6206890246682149
Pull-out Sofa,-0.024324309058471705,0.009003038929859302,-0.006836833113321939,-0.030589189183088852,-0.01831036790596441,-0.03486422030857559,-0.028837824597963566,0.03154358564733438,0.0065613237949275266,0.013306518576593684,0.014617251184379508,0.012508018935006606,-0.00643322850088456,0.007477827058261428,0.013110964071739072,-0.016901407804406205,-0.005244780824569661,0.07469610216105747,-0.004478941387880074,-0.0028185650447713462,-0.0063196275762624704,1.0,-0.5766737114325704
Real Bed,0.04425469646313563,-0.012753101556606599,-0.00505689769004146,0.049920033963428916,0.024456403369146257,0.04186451765456377,0.04890955666182549,-0.04030884278839642,0.007145354038619438,-0.0019161440059748671,-0.009500602359157269,-0.009011699024342887,0.01881710810631573,0.0025956323287109075,-0.002648416437604231,0.04775853862179669,-0.008579621091777309,-0.13232631609206028,-0.4399040494144426,-0.27682839969476375,-0.6206890246682149,-0.5766737114325704,1.0
